collection_round,computed_airix,reference_airix
1,96.6,100.1186
2,96.0,100.2277
3,93.7,100.14
4,95.8,100.3096
5,94.3,100.2166
6,95.2,100.4398
7,94.7,100.6022
8,95.7,100.5751
9,96.0,100.6941
10,94.7,100.5815
11,94.4,100.7703
12,95.8,100.7903
13,94.5,100.9812
14,96.2,100.7073
15,96.5,100.9789
16,97.1,101.1134
17,95.9,101.2593
18,95.1,101.1763
19,96.3,101.4461
20,94.6,101.339
21,97.3,101.3541
22,96.6,101.5286
23,97.4,101.5516
24,95.0,101.9414
25,96.7,101.7285
26,96.7,101.7742
27,94.4,101.9315
28,96.4,101.9023
29,94.9,102.1288
30,97.7,102.1712
31,98.4,102.2443
32,96.0,102.3464
33,95.5,102.1718
34,97.9,102.5076
35,102.4,102.6034
