record_id,collection_round,route,airline,flight,departure_date,collection_time,booking_horizon,cabin,base_fare,fuel_surcharge,udf,convenience_fee,gst,total_fare,availability,source,quality_status,exclusion_reason
1,1,DEL-BOM,IndiGo,IN532,2026-08-15,2026-07-01,T+45,Economy,4416.0,349,174,290,581,5810.0,Available,Airline Site,Valid,
2,1,DEL-BOM,IndiGo,IN204,2026-08-15,2026-07-16,T+30,Economy,5959.0,470,235,392,784,7840.0,Available,Airline Site,Valid,
3,1,DEL-BOM,IndiGo,IN370,2026-08-15,2026-07-31,T+15,Economy,7379.0,583,291,486,971,9710.0,Available,OTA,Valid,
4,1,DEL-BOM,IndiGo,IN487,2026-08-15,2026-08-08,T+7,Economy,8816.0,696,348,580,1160,11600.0,Available,OTA,Valid,
5,1,DEL-BOM,IndiGo,IN982,2026-08-15,2026-08-14,T+1,Economy,9925.0,784,392,653,1306,13060.0,Available,Airline Site,Valid,
6,1,DEL-BOM,Air India,AI396,2026-08-15,2026-07-01,T+45,Economy,4301.0,340,170,283,566,5660.0,Available,Airline Site,Valid,
7,1,DEL-BOM,Air India,AI564,2026-08-15,2026-07-16,T+30,Economy,6118.0,483,242,402,805,8050.0,Available,OTA,Valid,
8,1,DEL-BOM,Air India,AI786,2026-08-15,2026-07-31,T+15,Economy,6878.0,543,272,452,905,9050.0,Available,Airline Site,Valid,
9,1,DEL-BOM,Air India,AI846,2026-08-15,2026-08-08,T+7,Economy,8277.0,653,327,544,1089,10890.0,Available,OTA,Valid,
10,1,DEL-BOM,Air India,AI755,2026-08-15,2026-08-14,T+1,Economy,8854.0,699,350,582,1165,11650.0,Available,Airline Site,Valid,
11,1,DEL-BOM,Akasa,AK334,2026-08-15,2026-07-01,T+45,Economy,4423.0,349,175,291,582,5820.0,Available,OTA,Valid,
12,1,DEL-BOM,Akasa,AK680,2026-08-15,2026-07-16,T+30,Economy,5655.0,446,223,372,744,7440.0,Available,OTA,Valid,
13,1,DEL-BOM,Akasa,AK758,2026-08-15,2026-07-31,T+15,Economy,6984.0,551,276,460,919,9190.0,Available,OTA,Valid,
14,1,DEL-BOM,Akasa,AK651,2026-08-15,2026-08-08,T+7,Economy,7661.0,605,302,504,1008,10080.0,Available,OTA,Valid,
15,1,DEL-BOM,Akasa,AK324,2026-08-15,2026-08-14,T+1,Economy,9614.0,759,380,632,1265,12650.0,Available,Airline Site,Valid,
16,1,DEL-BLR,IndiGo,IN742,2026-08-15,2026-07-01,T+45,Economy,2265.0,179,89,149,298,2980.0,Available,OTA,Valid,
17,1,DEL-BLR,IndiGo,IN710,2026-08-15,2026-07-16,T+30,Economy,3139.0,248,124,206,413,4130.0,Available,OTA,Valid,
