record_id,collection_round,route,airline,flight,departure_date,collection_time,booking_horizon,cabin,base_fare,taxes,total_fare,availability,source,quality_status
1,1,DEL-BOM,IndiGo,IN338,2026-09-15,2026-08-01,T+45,Economy,5040.0,910.0,5950.0,Available,Airline Site,Valid
2,1,DEL-BOM,IndiGo,IN833,2026-09-15,2026-08-16,T+30,Economy,6850.0,1230.0,8080.0,Available,OTA,Valid
3,1,DEL-BOM,IndiGo,IN703,2026-09-15,2026-08-31,T+15,Economy,8100.0,1460.0,9560.0,Available,Airline Site,Valid
4,1,DEL-BOM,IndiGo,IN263,2026-09-15,2026-09-08,T+7,Economy,10060.0,1810.0,11870.0,Available,OTA,Valid
5,1,DEL-BOM,IndiGo,IN320,2026-09-15,2026-09-14,T+1,Economy,9660.0,1740.0,11400.0,Available,OTA,Valid
6,1,DEL-BOM,Air India,AI467,2026-09-15,2026-08-01,T+45,Economy,5110.0,920.0,6030.0,Available,OTA,Valid
7,1,DEL-BOM,Air India,AI847,2026-09-15,2026-08-16,T+30,Economy,7170.0,1290.0,8460.0,Available,Airline Site,Valid
8,1,DEL-BOM,Air India,AI487,2026-09-15,2026-08-31,T+15,Economy,9500.0,1710.0,11210.0,Available,OTA,Valid
9,1,DEL-BOM,Air India,AI733,2026-09-15,2026-09-08,T+7,Economy,10360.0,1860.0,12220.0,Available,OTA,Valid
10,1,DEL-BOM,Air India,AI821,2026-09-15,2026-09-14,T+1,Economy,10560.0,1900.0,12460.0,Available,Airline Site,Valid
11,1,DEL-BOM,Akasa,AK975,2026-09-15,2026-08-01,T+45,Economy,5840.0,1050.0,6890.0,Available,Airline Site,Valid
12,1,DEL-BOM,Akasa,AK564,2026-09-15,2026-08-16,T+30,Economy,7770.0,1400.0,9170.0,Available,OTA,Valid
13,1,DEL-BOM,Akasa,AK463,2026-09-15,2026-08-31,T+15,Economy,9280.0,1670.0,10950.0,Available,OTA,Valid
14,1,DEL-BOM,Akasa,AK799,2026-09-15,2026-09-08,T+7,Economy,11520.0,2070.0,13590.0,Available,Airline Site,Valid
15,1,DEL-BOM,Akasa,AK350,2026-09-15,2026-09-14,T+1,Economy,11940.0,2150.0,14090.0,Available,OTA,Valid
16,1,DEL-BLR,IndiGo,IN804,2026-09-15,2026-08-01,T+45,Economy,3180.0,570.0,3750.0,Available,OTA,Valid
17,1,DEL-BLR,IndiGo,IN894,2026-09-15,2026-08-16,T+30,Economy,4480.0,810.0,5290.0,Available,Airline Site,Valid
