collection_round,date
1,2026-07-01
2,2026-07-02
3,2026-07-03
4,2026-07-04
5,2026-07-05
6,2026-07-06
7,2026-07-07
8,2026-07-08
9,2026-07-09
10,2026-07-10
11,2026-07-11
12,2026-07-12
13,2026-07-13
14,2026-07-14
15,2026-07-15
16,2026-07-16
17,2026-07-17
18,2026-07-18
19,2026-07-19
20,2026-07-20
21,2026-07-21
22,2026-07-22
23,2026-07-23
24,2026-07-24
25,2026-07-25
26,2026-07-26
27,2026-07-27
28,2026-07-28
29,2026-07-29
30,2026-07-30
31,2026-07-31
32,2026-08-01
33,2026-08-02
34,2026-08-03
35,2026-08-04
