collection_round,BLR-HYD,BOM-BLR,BOM-HYD,BOM-MAA,CCU-BLR,DEL-BLR,DEL-BOM,DEL-CCU,DEL-HYD,DEL-MAA
1,96.3,96.5,96.6,96.8,96.8,96.6,96.5,96.9,96.9,96.3
2,101.1,103.8,93.9,103.0,100.5,93.2,91.3,99.6,88.4,94.0
3,95.8,94.6,93.7,99.3,93.2,92.4,88.8,95.4,91.2,103.6
4,90.8,98.7,98.0,101.5,97.7,92.4,89.8,103.6,94.5,102.5
5,99.2,98.8,97.9,98.9,105.2,91.1,85.2,95.5,93.5,98.5
6,99.0,101.6,96.0,96.9,99.4,94.7,91.4,94.3,91.6,92.1
7,94.6,101.4,96.5,101.9,103.6,89.2,89.5,98.8,89.6,94.5
8,93.6,94.3,94.2,100.7,95.4,90.7,97.6,101.5,95.6,93.4
9,101.3,97.6,94.2,104.2,100.4,94.6,91.9,95.6,93.3,98.1
10,93.8,95.9,97.1,100.3,96.6,88.2,92.6,100.8,93.3,98.1
11,92.6,96.4,95.7,104.3,98.6,91.5,93.9,94.8,89.2,91.1
12,92.9,102.9,100.8,102.2,98.2,88.3,94.0,93.0,97.6,94.2
13,92.5,95.6,96.9,103.2,99.1,85.6,94.6,100.1,90.7,95.6
14,95.1,101.0,105.2,99.4,94.5,91.0,95.9,94.8,87.5,103.9
15,92.1,103.1,95.3,98.0,96.3,96.8,96.4,90.7,96.2,96.0
16,101.4,94.3,97.9,105.8,103.6,89.7,100.2,93.1,96.0,96.5
17,102.0,97.1,94.5,105.2,97.1,85.8,94.2,96.6,99.8,100.7
18,101.4,95.8,91.7,100.7,99.4,87.5,92.6,98.7,97.7,97.2
19,102.1,97.9,96.7,103.3,95.9,90.3,98.8,86.7,95.0,101.8
20,104.5,100.1,94.3,97.2,98.9,83.6,96.5,90.7,94.7,92.1
21,97.0,105.7,103.4,97.4,107.9,88.4,94.5,91.9,98.8,99.6
22,99.4,91.2,100.8,100.0,99.8,90.2,100.7,97.6,92.2,100.1
23,99.0,96.8,101.9,96.6,102.5,88.5,101.8,99.0,92.8,98.9
24,99.5,95.1,101.3,107.5,105.4,82.2,94.3,96.9,88.0,99.7
25,103.3,97.8,98.1,102.3,104.5,87.1,97.3,99.7,91.8,96.5
26,107.6,96.2,93.6,110.0,106.7,86.9,94.9,96.3,94.8,97.6
27,103.6,86.6,97.7,108.0,95.7,93.4,91.8,87.2,95.8,100.9
28,101.7,90.9,99.9,103.2,97.4,82.9,103.6,92.8,98.4,100.5
29,98.1,92.5,102.5,98.9,96.9,83.3,95.8,95.1,100.7,97.9
30,103.7,92.6,105.5,100.9,102.9,80.1,107.4,99.6,92.4,99.0
31,102.8,97.5,94.9,102.4,105.4,90.0,102.3,94.2,97.7,102.6
32,99.3,92.0,97.8,105.5,109.6,82.3,99.0,94.7,96.2,98.6
33,100.2,91.4,103.1,103.9,103.9,85.5,95.6,89.1,97.7,102.6
34,116.1,96.6,101.7,100.4,99.2,83.6,98.6,91.6,103.4,106.2
35,101.4,87.2,102.3,99.4,107.0,86.2,98.0,93.8,104.7,104.0
