collection_round,route,true_index
1,DEL-BOM,100.009
1,DEL-BLR,99.738
1,BOM-BLR,99.306
1,DEL-CCU,100.084
1,DEL-HYD,100.577
1,BOM-HYD,100.369
1,BLR-HYD,100.685
1,DEL-MAA,100.586
1,BOM-MAA,100.458
1,CCU-BLR,100.38
2,DEL-BOM,100.658
2,DEL-BLR,99.701
2,BOM-BLR,99.707
2,DEL-CCU,99.79
2,DEL-HYD,100.114
2,BOM-HYD,100.881
2,BLR-HYD,100.259
2,DEL-MAA,100.613
2,BOM-MAA,100.377
2,CCU-BLR,100.306
3,DEL-BOM,100.742
3,DEL-BLR,98.927
3,BOM-BLR,98.93
3,DEL-CCU,99.275
3,DEL-HYD,100.919
3,BOM-HYD,100.97
3,BLR-HYD,101.256
3,DEL-MAA,101.254
3,BOM-MAA,100.285
3,CCU-BLR,99.919
4,DEL-BOM,100.92
4,DEL-BLR,98.6
4,BOM-BLR,99.096
4,DEL-CCU,99.757
4,DEL-HYD,101.174
4,BOM-HYD,100.843
4,BLR-HYD,101.84
4,DEL-MAA,101.385
4,BOM-MAA,100.263
4,CCU-BLR,100.803
5,DEL-BOM,100.717
5,DEL-BLR,98.472
5,BOM-BLR,98.928
5,DEL-CCU,99.237
5,DEL-HYD,101.277
5,BOM-HYD,100.669
5,BLR-HYD,101.612
5,DEL-MAA,101.972
5,BOM-MAA,100.544
5,CCU-BLR,100.736
6,DEL-BOM,101.635
6,DEL-BLR,98.527
6,BOM-BLR,98.506
6,DEL-CCU,99.713
6,DEL-HYD,101.477
6,BOM-HYD,100.839
6,BLR-HYD,102.258
6,DEL-MAA,101.653
6,BOM-MAA,100.753
6,CCU-BLR,100.229
7,DEL-BOM,101.991
7,DEL-BLR,98.399
7,BOM-BLR,98.183
7,DEL-CCU,99.847
7,DEL-HYD,101.602
7,BOM-HYD,101.234
7,BLR-HYD,102.908
7,DEL-MAA,102.304
7,BOM-MAA,100.091
7,CCU-BLR,101.152
8,DEL-BOM,101.38
8,DEL-BLR,98.16
8,BOM-BLR,98.647
8,DEL-CCU,99.131
8,DEL-HYD,102.422
8,BOM-HYD,101.769
8,BLR-HYD,102.396
8,DEL-MAA,103.13
8,BOM-MAA,100.231
8,CCU-BLR,101.127
9,DEL-BOM,102.012
9,DEL-BLR,97.858
9,BOM-BLR,98.475
9,DEL-CCU,99.396
9,DEL-HYD,101.771
9,BOM-HYD,102.177
9,BLR-HYD,103.34
9,DEL-MAA,102.703
9,BOM-MAA,100.508
9,CCU-BLR,101.37
10,DEL-BOM,102.093
10,DEL-BLR,96.86
10,BOM-BLR,97.664
10,DEL-CCU,99.069
10,DEL-HYD,102.759
10,BOM-HYD,101.961
10,BLR-HYD,103.832
10,DEL-MAA,102.999
10,BOM-MAA,101.032
10,CCU-BLR,101.158
11,DEL-BOM,102.939
11,DEL-BLR,96.899
11,BOM-BLR,97.519
11,DEL-CCU,98.982
11,DEL-HYD,102.412
11,BOM-HYD,101.901
11,BLR-HYD,103.839
11,DEL-MAA,104.205
11,BOM-MAA,101.08
11,CCU-BLR,100.912
12,DEL-BOM,102.991
12,DEL-BLR,96.543
12,BOM-BLR,97.57
12,DEL-CCU,98.907
12,DEL-HYD,103.05
12,BOM-HYD,102.162
12,BLR-HYD,104.132
12,DEL-MAA,103.664
12,BOM-MAA,101.105
12,CCU-BLR,100.926
13,DEL-BOM,103.157
13,DEL-BLR,96.797
13,BOM-BLR,97.299
13,DEL-CCU,99.077
13,DEL-HYD,103.129
13,BOM-HYD,102.537
13,BLR-HYD,104.891
13,DEL-MAA,103.897
13,BOM-MAA,101.243
13,CCU-BLR,101.439
14,DEL-BOM,103.052
14,DEL-BLR,96.21
14,BOM-BLR,96.634
14,DEL-CCU,98.547
14,DEL-HYD,103.01
14,BOM-HYD,102.44
14,BLR-HYD,104.612
14,DEL-MAA,104.291
14,BOM-MAA,100.839
14,CCU-BLR,101.524
15,DEL-BOM,103.536
15,DEL-BLR,95.746
15,BOM-BLR,96.875
15,DEL-CCU,98.344
15,DEL-HYD,103.577
15,BOM-HYD,103.365
15,BLR-HYD,105.214
15,DEL-MAA,104.668
15,BOM-MAA,101.278
15,CCU-BLR,101.847
16,DEL-BOM,104.03
16,DEL-BLR,96.051
16,BOM-BLR,96.168
16,DEL-CCU,98.469
16,DEL-HYD,104.075
16,BOM-HYD,102.889
16,BLR-HYD,105.631
16,DEL-MAA,105.477
16,BOM-MAA,101.197
16,CCU-BLR,101.405
17,DEL-BOM,104.043
17,DEL-BLR,95.503
17,BOM-BLR,96.155
17,DEL-CCU,98.496
17,DEL-HYD,104.582
17,BOM-HYD,103.33
17,BLR-HYD,106.365
17,DEL-MAA,106.008
17,BOM-MAA,101.789
17,CCU-BLR,101.816
18,DEL-BOM,103.801
18,DEL-BLR,95.103
18,BOM-BLR,95.996
18,DEL-CCU,98.466
18,DEL-HYD,104.762
18,BOM-HYD,103.53
18,BLR-HYD,106.866
18,DEL-MAA,106.617
18,BOM-MAA,101.247
18,CCU-BLR,101.588
19,DEL-BOM,104.193
19,DEL-BLR,95.275
19,BOM-BLR,96.412
19,DEL-CCU,98.425
19,DEL-HYD,104.956
19,BOM-HYD,103.84
19,BLR-HYD,106.475
19,DEL-MAA,106.852
19,BOM-MAA,101.953
19,CCU-BLR,102.133
20,DEL-BOM,104.262
20,DEL-BLR,95.014
20,BOM-BLR,96.009
20,DEL-CCU,97.947
20,DEL-HYD,105.466
20,BOM-HYD,104.086
20,BLR-HYD,106.789
20,DEL-MAA,106.605
20,BOM-MAA,101.493
20,CCU-BLR,101.753
21,DEL-BOM,104.596
21,DEL-BLR,94.121
21,BOM-BLR,95.813
21,DEL-CCU,98.368
21,DEL-HYD,105.128
21,BOM-HYD,104.911
